n,k,x,y
17,12,8.175517966968961,-2.3261354156127068
17,13,8.463740498507793,0.7842810554380703
17,14,7.608887976518033,3.78877602410057
17,15,5.726412970995742,6.281575796375598
17,16,3.0705541625908013,7.9260139499370235
18,0,5.51091059616309e-16,9.0
18,1,-3.0781812899310186,8.457233587073176
18,2,-5.785088487178855,6.894399988070802
18,3,-7.794228634059946,4.500000000000003
18,4,-8.863269777109872,1.5628335990023725
18,5,-8.863269777109874,-1.5628335990023703
18,6,-7.79422863405995,-4.499999999999997
18,7,-5.7850884871788555,-6.894399988070801
18,8,-3.078181289931017,-8.457233587073176
18,9,-1.6532731788489267e-15,-9.0
18,10,3.0781812899310133,-8.457233587073176
18,11,5.7850884871788475,-6.894399988070808
18,12,7.794228634059945,-4.5000000000000036
18,13,8.863269777109872,-1.5628335990023734
18,14,8.863269777109874,1.5628335990023692
18,15,7.794228634059952,4.499999999999994
18,16,5.785088487178856,6.8943999880708
18,17,3.0781812899310177,8.457233587073176
19,0,5.817072295949927e-16,9.5
19,1,-3.084644957444493,8.98526379615603
19,2,-5.835020770551845,7.496834839265739
19,3,-7.953081543494021,5.196007502163055
19,4,-9.20930252642364,2.332112127837591
19,5,-9.467552683563364,-0.7845037819871581
19,6,-8.699846603223046,-3.816106534203211
19,7,-6.989377151394752,-6.434174930444538
19,8,-4.521500233852197,-8.355000636461646
19,9,-1.563648607666978,-9.370432382325863
19,10,1.5636486076669747,-9.370432382325863
19,11,4.521500233852194,-8.355000636461648
19,12,6.989377151394752,-6.434174930444538
19,13,8.699846603223047,-3.8161065342032066
19,14,9.467552683563364,-0.7845037819871615
19,15,9.20930252642364,2.3321121278375876
19,16,7.953081543494023,5.196007502163052
19,17,5.83502077055184,7.496834839265742
19,18,3.084644957444496,8.985263796156028
20,0,6.123233995736766e-16,10.0
20,1,-3.0901699437494736,9.510565162951536
20,2,-5.87785252292473,8.090169943749475
20,3,-8.090169943749473,5.877852522924733
20,4,-9.510565162951535,3.090169943749475
20,5,-10.0,1.2246467991473533e-15
20,6,-9.510565162951536,-3.0901699437494727
20,7,-8.090169943749476,-5.87785252292473
20,8,-5.877852522924733,-8.090169943749473
20,9,-3.0901699437494754,-9.510565162951535
20,10,-1.8369701987210296e-15,-10.0
