N,sigma,t,dist,residual
128,0.8026732714528125,19.398046278211236,0.30267327145281253,4.2711132545550575e-15
129,0.8004539266846081,19.364835680108406,0.30045392668460813,2.8709088012966007e-14
130,0.7980096238262909,19.332018078152256,0.2980096238262909,6.280369834735101e-16
131,0.7953470221460304,19.299584847793394,0.29534702214603037,8.89287949701369e-15
132,0.7924718132821923,19.26752765435633,0.2924718132821923,4.440892098500626e-16
133,0.7893887661306264,19.235838437549194,0.28938876613062636,2.9524418711792076e-14
134,0.7861017592385966,19.204509397205555,0.2861017592385966,1.7326594536814537e-14
135,0.7826138012470434,19.17353298011713,0.2826138012470434,1.7541523789077473e-14
136,0.7789270395469602,19.142901867836347,0.2789270395469602,1.422645865968639e-14
137,0.7750427569360135,19.112608965344627,0.27504275693601354,7.663756232033555e-15
138,0.7709613556556109,19.082647390496057,0.27096135565561086,6.5503158452884236e-15
139,0.7666823277299615,19.053010464158042,0.2666823277299615,1.0223701381680905e-14
140,0.7622042099856011,19.0236917009803,0.2622042099856011,8.227644038804674e-15
141,0.7575245214598836,18.994684800731942,0.2575245214598836,1.6566149623717745e-14
142,0.7526396800538726,18.965983640153507,0.2526396800538726,1.790180836524724e-15
143,0.7475448941681117,18.937582265276806,0.24754489416811165,4.213000162292041e-15
144,0.742234023563979,18.909474884170614,0.24223402356397905,1.0695084443661336e-14
145,0.736699401648458,18.881655860074652,0.23669940164845804,1.8452761694870047e-15
146,0.730931608529934,18.85411970488806,0.230931608529934,4.352584022962493e-15
147,0.7249191801429818,18.82686107298187,0.22491918014298184,1.616509124176106e-15
148,0.718648232871285,18.79987475530768,0.218648232871285,1.790180836524724e-15
149,0.7121019744115814,18.77315567377724,0.2121019744115814,7.77473259106447e-15
150,0.7052600584670351,18.746698875889596,0.2052600584670351,6.497413668604471e-15
151,0.6980977204261466,18.72049952958432,0.1980977204261466,2.1065000811460206e-15
152,0.690584598530316,18.694552918300655,0.19058459853031595,1.3911054626160788e-15
153,0.6826830911382294,18.668854436223832,0.18268309113822945,1.034300269220372e-14
154,0.6743460083781169,18.643399583700706,0.17434600837811687,4.577566798522237e-16
155,0.6655131113721094,18.618183962807766,0.16551311137210944,1.498266436058534e-14
156,0.6561058214913656,18.593203273055064,0.15610582149136565,8.7819974628212e-15
157,0.64601876041193,18.568453307210277,0.14601876041192996,1.3599325716948689e-14
158,0.635105440846945,18.543929947227106,0.13510544084694498,8.080257784172656e-15
159,0.6231522481697229,18.519629160262536,0.12315224816972292,4.890025172686938e-15
160,0.6098263162047595,18.495546994767196,0.10982631620475947,1.3275627388003681e-14
161,0.5945556802562956,18.471679576632837,0.09455568025629557,2.1157000432283724e-14
162,0.5761874594824277,18.448023105380422,0.07618745948242767,5.881301029635769e-16
163,0.5515187076381731,18.424573850371505,0.05151870763817312,1.6392246515987586e-15
164,0.4999999999999998,18.42389486969032,2.220446049250313e-16,6.133013297717974e-16
165,0.5,18.43898518455543,0.0,1.1324274851176597e-14
166,0.5,18.438328574129,0.0,3.3306690738754696e-16
167,0.5,18.433120922201397,0.0,7.105427357601002e-15
168,0.5,18.425531357297015,0.0,1.0436096431476471e-14
169,0.5,18.416450729289313,0.0,5.828670879282072e-15
170,0.5,18.406347403326393,0.0,6.106226635438361e-16
171,0.5,18.39550298105185,0.0,3.497202527569243e-15
172,0.5,18.384101907204027,0.0,2.4313884239290928e-14
173,0.5,18.372272413802097,0.0,7.66053886991358e-15
174,0.5,18.36010765811755,0.0,5.551115123125783e-16
175,0.5,18.347677637088868,0.0,2.2315482794965646e-14
176,0.5,18.335036364961326,0.0,9.547918011776346e-15
177,0.5,18.322226429564182,0.0,1.5543122344752192e-15
178,0.5,18.309282009479805,0.0,4.496403249731884e-15
179,0.5,18.296230943000527,0.0,5.88418203051333e-15
180,0.5,18.283096189106235,0.0,8.548717289613705e-15
