N,sigma,t,dist,residual
96,0.6548747300541957,17.256295534274628,0.15487473005419572,1.6967262834264224e-15
97,0.6714700818848092,17.212682343467943,0.17147008188480917,1.0325111434827764e-14
98,0.6850921209768079,17.16997250671264,0.18509212097680794,1.1486416184789405e-14
99,0.6965039947349985,17.128109995802184,0.19650399473499847,1.921584068943261e-14
100,0.7061897115780489,17.08704712819222,0.20618971157804888,2.7589000277231893e-14
101,0.714480088398724,17.046742635027165,0.214480088398724,4.965068306494546e-15
102,0.7216135571323066,17.00716028631598,0.22161355713230657,1.9100999153570945e-15
103,0.727768915904712,16.968267888025267,0.22776891590471204,4.557326905135504e-15
104,0.733084434746239,16.930036534452086,0.23308443474623897,8.740671014167527e-15
105,0.7376697025135073,16.892440040121286,0.23766970251350727,9.458585439727834e-15
106,0.7416133363360036,16.85545450065823,0.24161333633600357,2.525854981160645e-14
107,0.7449881993302567,16.819057948095924,0.24498819933025673,2.2867629927476573e-15
108,0.7478550487202331,16.783230076511032,0.24785504872023312,1.2064196492650336e-14
109,0.7502651575014748,16.747952020845823,0.2502651575014748,2.7420485960113413e-15
110,0.7522622432008296,16.713206176515722,0.2522622432008296,8.097971612348837e-15
111,0.75388391597528,16.67897605069374,0.25388391597528004,2.9283802823093454e-14
112,0.755162785294805,16.645246138486698,0.25516278529480496,3.8921195473125236e-15
113,0.7561273190262259,16.612001818883535,0.2561273190262259,1.2103467903451089e-14
114,0.7568025196230558,16.579229266567157,0.2568025196230558,3.721483476691303e-14
115,0.757210462982296,16.546915376572862,0.257210462982296,2.243557191803289e-14
116,0.7573707326476651,16.51504769944125,0.2573707326476651,1.9237637539818948e-14
117,0.7573007731914704,16.48361438501425,0.2573007731914704,1.1303711613024582e-14
118,0.7570161804174356,16.452604133404588,0.25701618041743557,3.3913997107569544e-14
119,0.7565309416230895,16.422006151961767,0.25653094162308954,1.4550700030937795e-14
120,0.7558576359791461,16.3918101172854,0.2558576359791461,1.9399380288993742e-14
121,0.7550076027528978,16.362006141514218,0.2550076027528978,1.0436096431476471e-14
122,0.753991083373567,16.332584742259563,0.253991083373567,2.7035697373913694e-14
123,0.752817342039095,16.303536815663218,0.252817342039095,8.180317321210782e-15
124,0.7514947685778797,16.274853612148675,0.25149476857787967,1.3831079839119408e-14
125,0.7500309665225133,16.246526714506402,0.25003096652251333,1.6659265506560222e-14
126,0.7484328287663455,16.21854801801197,0.24843282876634554,3.979805003092567e-15
127,0.7467066027149705,16.19090971232295,0.24670660271497047,1.2553377703611932e-14
128,0.7448579464825318,16.163604264939533,0.24485794648253179,9.336440972175736e-15
129,0.7428919773938717,16.136624406045613,0.2428919773938717,2.220446049250313e-15
130,0.7408133138210946,16.10996311457359,0.2408133138210946,2.1832755253970956e-14
131,0.7386261111939086,16.083613605358256,0.23862611119390864,3.412270059808006e-14
132,0.7363340928674973,16.057569317263486,0.2363340928674973,2.7012892057857038e-15
133,0.7339405764018496,16.03182390218104,0.23394057640184962,6.45458879844291e-15
134,0.7314484956965094,16.006371214813726,0.23144849569650938,1.2576920825403051e-14
135,0.728860419329852,15.981205303166433,0.22886041932985202,4.446439748506845e-15
136,0.7261785653680592,15.956320399677868,0.22617856536805925,1.4022253051002082e-14
