n,sigma,left,right,gm,left_over_right
2,0.2,0.8705505632961241,0.5743491774985174,0.7071067811865475,1.5157165665103982
2,0.35,0.7845840978967508,0.6372803136596311,0.7071067811865476,1.2311444133449163
2,0.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.0
2,0.65,0.6372803136596311,0.7845840978967508,0.7071067811865476,0.8122523963562356
2,0.8,0.5743491774985174,0.8705505632961241,0.7071067811865475,0.6597539553864471
3,0.2,0.8027415617602307,0.41524364653850576,0.5773502691896257,1.933182044931763
3,0.35,0.6807812106484504,0.48963356820002457,0.5773502691896258,1.3903891703159095
3,0.5,0.5773502691896257,0.5773502691896257,0.5773502691896257,1.0
3,0.65,0.48963356820002457,0.6807812106484504,0.5773502691896258,0.7192230933248643
3,0.8,0.41524364653850576,0.8027415617602307,0.5773502691896257,0.5172818579717865
4,0.2,0.757858283255199,0.32987697769322355,0.49999999999999994,2.29739670999407
4,0.35,0.6155722066724582,0.40612619817811774,0.5,1.5157165665103982
4,0.5,0.5,0.5,0.5,1.0
4,0.65,0.40612619817811774,0.6155722066724582,0.5,0.6597539553864471
4,0.8,0.32987697769322355,0.7578582832551991,0.5,0.435275281648062
5,0.2,0.7247796636776955,0.27594593229224296,0.4472135954999579,2.6265278044037674
5,0.35,0.569325319425153,0.35129300098920546,0.4472135954999579,1.6206565966927624
5,0.5,0.4472135954999579,0.4472135954999579,0.4472135954999579,1.0
5,0.65,0.35129300098920546,0.569325319425153,0.4472135954999579,0.6170338627200096
5,0.8,0.27594593229224296,0.7247796636776955,0.4472135954999579,0.3807307877431757
10,0.2,0.6309573444801932,0.15848931924611134,0.31622776601683794,3.9810717055349727
10,0.35,0.44668359215096315,0.22387211385683395,0.31622776601683794,1.99526231496888
10,0.5,0.31622776601683794,0.31622776601683794,0.31622776601683794,1.0
10,0.65,0.22387211385683395,0.44668359215096315,0.31622776601683794,0.5011872336272722
10,0.8,0.15848931924611134,0.6309573444801934,0.31622776601683794,0.25118864315095796
13,0.2,0.5987028555414977,0.12848289633344695,0.2773500981126145,4.659786420036066
13,0.35,0.4074926940752888,0.18877167134894576,0.2773500981126145,2.15865384442158
13,0.5,0.2773500981126146,0.2773500981126146,0.2773500981126146,1.0
13,0.65,0.18877167134894576,0.4074926940752888,0.2773500981126145,0.4632516707503671
13,0.8,0.12848289633344695,0.5987028555414978,0.2773500981126146,0.21460211045300656
25,0.2,0.5253055608807534,0.07614615754863513,0.19999999999999998,6.8986483073060745
25,0.35,0.3241313193385525,0.12340677254400192,0.2,2.6265278044037674
25,0.5,0.2,0.2,0.2,1.0
25,0.65,0.12340677254400192,0.3241313193385525,0.2,0.3807307877431757
25,0.8,0.07614615754863513,0.5253055608807535,0.2,0.14495593273553906
50,0.2,0.45730505192732634,0.043734482957731115,0.1414213562373095,10.456395525912734
50,0.35,0.25430827878332185,0.07864470671456429,0.1414213562373095,3.2336350328867876
50,0.5,0.1414213562373095,0.1414213562373095,0.1414213562373095,1.0
50,0.65,0.07864470671456429,0.25430827878332185,0.1414213562373095,0.30924949471099167
50,0.8,0.043734482957731115,0.4573050519273264,0.1414213562373095,0.09563524997900368
200,0.2,0.3465724215775732,0.014426999059072132,0.07071067811865474,24.02248867962863
200,0.35,0.1565451083457241,0.03193967574481908,0.07071067811865475,4.901274189394901
200,0.5,0.07071067811865475,0.07071067811865475,0.07071067811865475,1.0
200,0.65,0.03193967574481908,0.1565451083457241,0.07071067811865475,0.2040285773368369
200,0.8,0.014426999059072132,0.3465724215775733,0.07071067811865475,0.04162766037009363
