n_max,sigma,t,re,im,abs
200,0.2,0.0,94.07911113299882,0.0,94.07911113299882
200,0.2,5.0,13.67461017713616,0.5355626201017462,13.685093745264812
200,0.2,14.0,-6.676746935276017,1.9088123085829796,6.944243232139523
200,0.2,25.0,-0.4960914144221785,1.8922558289546199,1.95620520745553
200,0.2,40.0,-2.259663974575871,-1.0534363856808633,2.49315252174278
200,0.35,0.0,61.196678506879366,0.0,61.196678506879366
200,0.35,5.0,6.872106437732866,0.30520317516270845,6.878880422689356
200,0.35,14.0,-4.421248802467575,0.6903858896482092,4.474826661441348
200,0.35,25.0,-1.1776353611896033,0.680738413019437,1.3602315357630808
200,0.35,40.0,-1.3675779702812207,-0.5080049515092608,1.4588826325501412
200,0.5,0.0,51.71851469268676,0.0,51.71851469268676
200,0.5,5.0,5.011541587475897,0.0,5.011541587475897
200,0.5,14.0,-3.802010070541893,0.0,3.802010070541893
200,0.5,25.0,-1.3562548571524182,0.0,1.3562548571524182
200,0.5,40.0,-1.1229656399062822,0.0,1.1229656399062822
200,0.65,0.0,61.196678506879366,0.0,61.196678506879366
200,0.65,5.0,6.872106437732866,-0.30520317516270845,6.878880422689356
200,0.65,14.0,-4.421248802467575,-0.6903858896482092,4.474826661441348
200,0.65,25.0,-1.1776353611896033,-0.680738413019437,1.3602315357630808
200,0.65,40.0,-1.3675779702812207,0.5080049515092608,1.4588826325501412
200,0.8,0.0,94.07911113299888,0.0,94.07911113299888
200,0.8,5.0,13.674610177136165,-0.5355626201017482,13.685093745264817
200,0.8,14.0,-6.6767469352760145,-1.9088123085829807,6.944243232139521
200,0.8,25.0,-0.496091414422177,-1.89225582895462,1.9562052074555298
200,0.8,40.0,-2.2596639745758704,1.0534363856808626,2.493152521742779
