h,H,H_h,true_half,residual,wrap_N,sheet_leftover,heading_chord,tens_n2,hx_n2,hy_n2,tens_nN,hx_nN,hy_nN,wedge,closed,wedge_diff
0.0005,6284,3.142,6283.185830778328,0.0004070845769126308,15434.594341136375,1.2499999213488877e-07,0.0004999999531250075,0.0,0.9999996685643127,0.0008141690638847565,499.0005,0.6864727846875184,0.7271554963578037,498008.44745932106,498008.407755279,0.03970404207939282
0.001,3142,3.142,3141.593700787065,0.0004062990775022257,15464.43409570667,4.999998750587764e-07,0.0009999996250002422,0.0,0.9999996698421373,0.000812598065574889,499.0005,0.6876142975256565,0.7260761515421766,498008.48716337956,498008.407755279,0.07940810057334602
0.002,1571,3.142,1570.798421187765,0.00040315708692784114,15584.955618811133,1.99999799987971e-06,0.00199999700000775,0.0,0.9999996749287441,0.0008063140864872236,499.0005,0.6921633399892686,0.7217408889448486,498008.56657148246,498008.407755279,0.15881620347499847
0.005,629,3.145,628.3237666708085,0.0033811384699915514,1858.3046399739098,1.2499921876019116e-05,0.004999953125756822,0.0,0.999977135892422,0.006762225402093813,499.0005,0.8874140218333451,0.46097326804660527,498008.80441709486,498008.407755279,0.3966618158738129
0.01,315,3.15,314.1697370552532,0.008302352709756544,756.7957573996916,4.9998750062396624e-05,0.009999625024216925,0.0,0.9998621450464135,0.016603942398869684,499.0005,-0.6241586253537001,-0.781297645200969,498009.19981977413,498008.407755279,0.7920644951518625
0.02,158,3.16,157.1005743969601,0.017986114167991563,349.3353399458158,0.0001999800039989008,0.019997000774766325,0.0,0.99935306915956,0.03596447082006971,499.0005,-0.15545415451693617,-0.9878431079090569,498009.9868716163,498008.407755279,1.579116337292362
