m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
23,36129,1571,down,23.0,11.5,0.08695652173913043,1.0,5.793478260869565,4.793478260869565,-0.9999991902146117,-0.0012726233224567701,-3.140320029923819,-11.499990687468035,-0.014635168208252856,22.499999543094265,35.350036823298176,0.6364915447065439,22.997453851050288
24,37700,1571,up,24.0,12.0,0.08333333333333333,1.0,6.041666666666667,5.041666666666667,0.9999985958797626,0.0016757799685700222,0.0016757807529026519,11.999983150557151,0.020109359622840266,23.499999522767705,36.92088628377998,0.6364960836027299,23.997453851050288
25,39270,1570,down,25.0,12.5,0.08,1.0,6.29,5.29,-0.9999999968841982,-7.894050640875536e-05,-3.1415137130833024,-12.499999961052477,-0.000986756330109442,24.499992194187847,38.46674696615225,0.6369135455032352,24.99681731381286
26,40841,1571,up,26.0,13.0,0.07692307692307693,1.0,6.538461538461538,5.538461538461538,0.9999998837909575,0.0004820975747447364,0.00048209759341943644,12.999998489282447,0.0062672684716815735,25.499999482116845,40.063130012359075,0.6364954379313437,25.99681731381286
27,42412,1571,down,27.0,13.5,0.07407407407407407,1.0,6.787037037037037,5.787037037037037,-0.9999996081621011,-0.000885254564722079,-3.140707398909446,-13.499994710188364,-0.011950936623748068,26.499999461792374,41.63350122465083,0.636506627650666,26.99681731381286
28,43983,1571,up,28.0,14.0,0.07142857142857142,1.0,7.035714285714286,6.035714285714286,0.9999991699976738,0.0012884114108127776,0.0012884117672743852,13.999988379967434,0.018037759751378887,27.49999944146845,43.20439364001364,0.6365093251997268,27.99681731381286
29,45554,1571,down,29.0,14.5,0.06896551724137931,1.0,7.2844827586206895,6.2844827586206895,-0.9999985692977468,-0.001691568047490967,-3.139901084735592,-14.499979254817328,-0.02452773668861902,28.499999421145013,44.775292091750686,0.6365117476563776,28.99681731381286
30,47124,1570,up,30.0,15.0,0.06666666666666667,1.0,7.533333333333333,6.533333333333333,0.9999999955132454,9.472860765006204e-05,9.472860779173672e-05,14.99999993269868,0.0014209291147509306,29.499990599949935,46.3161966962416,0.6369260151782661,29.99618077657543
31,48695,1571,down,31.0,15.5,0.06451612903225806,1.0,7.782258064516129,6.782258064516129,-0.9999998760549201,-0.0004978856741492208,-3.141094767895074,-15.499998078851261,-0.007717227949312923,30.499999380499418,47.91761669933655,0.6365091062828613,30.99618077657543
32,50266,1571,up,32.0,16.0,0.0625,1.0,8.03125,7.03125,0.9999995940609804,0.0009010426597242431,0.0009010427816470542,15.999993504975686,0.01441668255558789,31.49999936017718,49.48802482465358,0.6365176115189133,31.99618077657543
33,51837,1571,down,33.0,16.5,0.06060606060606061,1.0,8.280303030303031,7.280303030303031,-0.9999991495314721,-0.0013041994988472715,-3.140288453721219,-16.49998596726929,-0.02151929173097998,32.499999339855265,51.058948402562486,0.6365191676807859,32.99618077657543
34,53408,1571,up,34.0,17.0,0.058823529411764705,1.0,8.529411764705882,7.529411764705882,0.9999985424664674,0.001707356125994633,0.0017073569555047185,16.999975221929944,0.02902505414190876,33.49999931953364,52.629875306857826,0.6365205907141585,33.99618077657543
