N,discrete_wedge,closed_wedge,diff
2,0.0,1.1102230246251565e-16,-1.1102230246251565e-16
3,0.030491635182636475,0.030465108108164718,2.6527074471757034e-05
4,0.19322675404555614,0.1931471805599455,7.957348561063449e-05
5,0.5414339598432201,0.5412907318741552,0.0001432279690648519
6,1.0988244752505791,1.0986122886681091,0.00021218658247001976
7,1.8780471446570954,1.877762968495368,0.0002841761617273786
8,2.886652421229613,2.886294361119891,0.0003580601097223912
9,4.129510603753916,4.129077396776275,0.00043320697764137606
10,5.609947150327632,5.609437912434101,0.0005092378935307451
11,7.33033400399414,7.329748092238427,0.0005859117557127647
12,9.292422537057137,9.291759469228056,0.0006630678290804326
13,11.497542771736557,11.496802176901591,0.000740594834965691
14,13.946728562343761,13.945910149055313,0.0008184132884476725
15,16.640799485442688,16.639903020542267,0.0008964649004212788
16,19.58041624763394,19.579441541679838,0.0009747059541034275
17,22.766119266514952,22.765066163496275,0.001053103018676893
18,26.198356207428716,26.19722457733622,0.0011316300924981704
19,29.87750206525433,29.8762917986065,0.001210266647831304
20,33.803874089256716,33.80258509299404,0.0012889962626729812
50,267.2225422877832,267.2188758248682,0.0036664629150209294
100,1155.4196646433975,1155.4120230054282,0.0076416379693000636
200,4806.120766948032,4806.105170185988,0.015596762043969647
300,10956.534188241274,10956.510635294097,0.023552947177449823
400,19606.82982676413,19606.79831736655,0.03150939758052118
500,30757.060926871534,30757.021460917866,0.039465953668695875
600,44407.25120503708,44407.20378247466,0.04742256242025178
700,60557.413312356046,60557.35793315448,0.05537920156348264
800,79207.55480040713,79207.49146454711,0.063335860017105
900,100357.68054011412,100357.60924758276,0.07129253135644831
1000,124007.79385730997,124007.71460809842,0.07924921154335607
1100,150157.89712417856,150157.80991827822,0.08720590034499764
1200,178807.99209224642,178807.8969296552,0.0951625912275631
1300,209958.08009164908,209957.97697236287,0.10311928621376865
1400,243608.1621563193,243608.05108033502,0.11107598428498022
1500,279758.23910589056,279758.12007320655,0.11903268401511014
1600,318408.31160111446,318408.18461172766,0.12698938680114225
1700,359558.3801824352,359558.2452363495,0.13494608568726107
1800,403208.4452975539,403208.30239476333,0.14290279056876898
1900,449358.5073214809,449358.35646198463,0.15085949626518413
2000,498008.56657148246,498008.407755279,0.15881620347499847
2100,549158.6233183541,549158.4565454432,0.16677291097585112
2200,602808.6777950808,602808.5030654587,0.17472962208557874
2300,658958.730203552,658958.5475172213,0.1826863307505846
2400,717608.7807198758,717608.5900768357,0.1906430401140824
2500,778758.8294985797,778758.6308988302,0.1985997494775802
2600,842408.8766760057,842408.6701195434,0.20655646221712232
2700,908558.9223730456,908558.7078598714,0.2145131741417572
2800,977208.9666974009,977208.7442275155,0.22246988536790013
2900,1048359.0097454306,1048358.7793188354,0.23042659519705921
3000,1122009.0516036863,1122008.813220387,0.2383832992054522
3100,1198159.0923502217,1198158.8460102098,0.24634001194499433
3200,1276809.1320556316,1276808.877758908,0.25429672352038324
3300,1357959.170784003,1357958.9085305668,0.26225343625992537
3400,1441609.208593682,1441608.93838353,0.27021015202626586
3500,1527759.2455379323,1527758.9673710668,0.2781668654642999
3600,1616409.2816655175,1616408.995541944,0.28612357354722917
